CPF,scr_classificacao_risco,scr_score_risco,scr_dias_atraso,scr_valor_vencido,scr_valor_prejuizo,scr_tem_prejuizo
63092951559,A,1,3,0.0,0.0,0
69759791263,H,8,138,8301.56,0.0,0
47718198297,D,4,10,424.07,0.0,0
86858842149,C,3,47,2465.13,0.0,0
25184366311,AA,0,0,0.0,0.0,0
80080544242,A,1,0,0.0,0.0,0
89987066636,AA,0,0,0.0,0.0,0
30310788761,F,6,194,10513.69,0.0,0
60537272042,B,2,0,0.0,0.0,0
41030242880,C,3,6,383.5,0.0,0
95817841997,A,1,3,0.0,0.0,0
45646826767,G,7,232,2086.24,0.0,0
69412271416,D,4,27,841.89,0.0,0
54220892612,B,2,0,0.0,0.0,0
58521138519,AA,0,0,0.0,0.0,0
19762426686,A,1,0,0.0,0.0,0
54738026849,B,2,0,0.0,0.0,0
41713958743,B,2,0,0.0,0.0,0
43461453555,B,2,0,0.0,0.0,0
95319742450,AA,0,0,0.0,0.0,0
56992776817,C,3,0,0.0,0.0,0
96561560134,AA,0,0,0.0,0.0,0
35153335432,B,2,0,0.0,0.0,0
50896542530,B,2,0,0.0,0.0,0
20744922265,C,3,56,1986.7,1584.07,1
35869050492,D,4,0,0.0,0.0,0
27691348187,A,1,0,0.0,0.0,0
67938640184,C,3,6,1829.59,0.0,0
40055887189,C,3,9,1931.98,0.0,0
54041126515,AA,0,0,0.0,0.0,0
94960082833,C,3,16,512.66,0.0,0
90621017246,A,1,0,0.0,0.0,0
70951748249,AA,0,0,0.0,0.0,0
34726790459,G,7,71,4626.98,0.0,0
59587881768,H,8,297,1317.76,8610.49,1
86361989593,E,5,102,2853.0,6014.11,1
67186744419,A,1,0,0.0,0.0,0
67428843035,AA,0,0,0.0,0.0,0
76275824559,D,4,11,211.91,0.0,0
24684284324,B,2,0,0.0,0.0,0
11561124684,AA,0,0,0.0,0.0,0
55450244340,B,2,0,0.0,0.0,0
78710714970,AA,0,0,0.0,0.0,0
69911230128,G,7,146,3653.03,0.0,0
53350697339,AA,0,0,0.0,0.0,0
58467264618,B,2,0,0.0,0.0,0
46789247673,B,2,0,0.0,0.0,0
47020990447,B,2,0,0.0,0.0,0
36343052332,C,3,15,191.23,0.0,0
32327222858,B,2,0,0.0,0.0,0
34562039537,H,8,181,2177.55,0.0,0
70845174746,D,4,2,216.34,0.0,0
82155437385,G,7,71,4287.64,2495.59,1
55117668689,E,5,51,2425.46,10502.06,1
65517753562,C,3,38,1511.69,0.0,0
82588528834,G,7,82,4518.92,9610.01,1
13468231136,AA,0,0,0.0,0.0,0
83223768629,AA,0,0,0.0,0.0,0
77284658486,AA,0,0,0.0,0.0,0
43555258576,AA,0,0,0.0,0.0,0
79853652119,B,2,0,0.0,0.0,0
10531219443,A,1,0,0.0,0.0,0
66086689938,C,3,10,825.95,0.0,0
47760154842,AA,0,0,0.0,0.0,0
84188419758,A,1,0,0.0,0.0,0
75523483922,C,3,7,1971.36,0.0,0
82348741878,AA,0,3,0.0,0.0,0
22342884685,D,4,7,1438.06,0.0,0
17788290927,AA,0,0,0.0,0.0,0
93923557277,H,8,48,824.13,10826.35,1
47025368679,C,3,10,222.75,0.0,0
51612135578,B,2,0,0.0,0.0,0
74095313465,AA,0,0,0.0,0.0,0
32222593412,E,5,144,14401.1,0.0,0
29822890967,D,4,17,523.54,0.0,0
95532832194,D,4,33,736.28,0.0,0
85154756313,C,3,26,606.99,0.0,0
60611668849,AA,0,0,0.0,0.0,0
51753962298,A,1,0,0.0,0.0,0
39575276343,A,1,3,0.0,0.0,0
23534630916,F,6,290,1040.41,0.0,0
41765731380,B,2,0,0.0,0.0,0
22648111211,A,1,0,0.0,0.0,0
84786912891,A,1,0,0.0,0.0,0
61380741658,AA,0,0,0.0,0.0,0
78542771168,A,1,0,0.0,0.0,0
40350140595,D,4,4,307.12,0.0,0
84830225441,C,3,57,918.21,0.0,0
42167732131,G,7,320,1941.53,0.0,0
44125195884,C,3,2,562.55,835.1,1
98983024258,AA,0,0,0.0,0.0,0
75639481296,D,4,1,418.22,0.0,0
10354062652,D,4,13,629.77,0.0,0
99136193295,C,3,1,533.04,0.0,0
12992518565,D,4,31,7144.72,0.0,0
80851940183,C,3,10,1903.0,0.0,0
48434449576,C,3,3,181.96,0.0,0
22410961228,AA,0,0,0.0,0.0,0
94984847164,AA,0,0,0.0,0.0,0
78828231377,A,1,0,0.0,0.0,0
90828255788,AA,0,0,0.0,0.0,0
68098178290,C,3,36,155.74,0.0,0
18141291559,B,2,0,0.0,0.0,0
79572131635,C,3,19,1562.32,1951.86,1
72037865296,E,5,281,1441.89,2863.71,1
19232441427,A,1,0,0.0,0.0,0
42632381017,B,2,0,0.0,0.0,0
72554146126,E,5,182,2242.66,0.0,0
91851689775,AA,0,0,0.0,0.0,0
28778537741,AA,0,0,0.0,0.0,0
50885223572,AA,0,0,0.0,0.0,0
64030813954,AA,0,0,0.0,0.0,0
61386791640,G,7,113,2929.53,0.0,0
67933344518,E,5,225,2854.35,16223.08,1
10915080953,B,2,0,0.0,0.0,0
12530243493,E,5,133,1903.52,0.0,0
84771970239,E,5,50,5530.59,5432.08,1
81032875489,AA,0,0,0.0,0.0,0
22233454293,G,7,51,5795.92,0.0,0
72496943995,B,2,0,0.0,0.0,0
93797559929,D,4,5,212.18,0.0,0
29692030211,F,6,55,6779.75,14907.58,1
76974790717,B,2,0,0.0,0.0,0
75684219839,AA,0,0,0.0,0.0,0
48429616389,A,1,0,0.0,0.0,0
13569078890,A,1,0,0.0,0.0,0
81663571813,D,4,13,866.15,0.0,0
85059147886,E,5,208,1788.11,0.0,0
54560874835,AA,0,0,0.0,0.0,0
91433326479,B,2,3,0.0,0.0,0
36699773492,B,2,0,0.0,0.0,0
89027492985,AA,0,0,0.0,0.0,0
65048951971,A,1,0,0.0,0.0,0
41572143445,A,1,0,0.0,0.0,0
68842744340,G,7,40,4198.58,4536.98,1
77915949646,AA,0,0,0.0,0.0,0
35016075727,B,2,3,0.0,0.0,0
40947738688,C,3,2,346.54,0.0,0
77643995977,AA,0,0,0.0,0.0,0
99530945162,H,8,41,6366.11,3849.72,1
69816117816,H,8,227,1251.55,3759.05,1
97925835449,A,1,0,0.0,0.0,0
68943878989,C,3,14,95.19,0.0,0
29212474748,B,2,0,0.0,0.0,0
25987575276,A,1,0,0.0,0.0,0
29397661532,A,1,0,0.0,0.0,0
38993870567,C,3,28,111.12,0.0,0
42837474832,C,3,20,2450.91,0.0,0
81462457640,AA,0,0,0.0,0.0,0
42746588614,B,2,0,0.0,0.0,0
57452247523,G,7,66,7457.86,9553.38,1
24950587271,B,2,0,0.0,0.0,0
53594752235,A,1,0,0.0,0.0,0
21669122465,C,3,5,596.42,0.0,0
49591675114,H,8,74,15244.97,0.0,0
71170360160,AA,0,0,0.0,0.0,0
33561545892,B,2,0,0.0,0.0,0
89283876365,C,3,42,80.9,0.0,0
37489096292,AA,0,0,0.0,0.0,0
70730414527,D,4,46,1082.04,0.0,0
28868214497,A,1,0,0.0,0.0,0
73252911624,C,3,10,1771.57,0.0,0
42890171017,B,2,0,0.0,0.0,0
14947475097,C,3,24,804.91,0.0,0
78170531252,AA,0,0,0.0,0.0,0
13415875182,D,4,43,660.19,0.0,0
62363983255,A,1,3,0.0,0.0,0
97690796638,B,2,0,0.0,0.0,0
47522759879,AA,0,0,0.0,0.0,0
75586791374,C,3,5,1592.17,0.0,0
89615165115,B,2,0,0.0,0.0,0
89426436210,A,1,0,0.0,0.0,0
68827553423,B,2,0,0.0,0.0,0
43486678850,B,2,0,0.0,0.0,0
80734184794,C,3,20,1990.42,0.0,0
99798669671,AA,0,0,0.0,0.0,0
41224193384,D,4,18,1923.68,0.0,0
77668953070,A,1,0,0.0,0.0,0
43932638258,F,6,74,1854.88,0.0,0
54355368254,AA,0,0,0.0,0.0,0
35688039326,A,1,0,0.0,0.0,0
45552122810,A,1,0,0.0,0.0,0
69460198239,E,5,226,5135.13,0.0,0
56010646229,E,5,153,2987.82,3319.14,1
14362490629,AA,0,0,0.0,0.0,0
10421166334,C,3,4,1291.48,0.0,0
53956948481,C,3,31,2928.63,855.36,1
58327663394,B,2,0,0.0,0.0,0
69664299636,C,3,25,309.55,0.0,0
86947644810,B,2,0,0.0,0.0,0
39749139044,AA,0,0,0.0,0.0,0
89063484655,F,6,204,3802.3,10896.39,1
88617868322,F,6,158,1874.2,0.0,0
53351481093,B,2,3,0.0,0.0,0
73841287523,B,2,0,0.0,0.0,0
44927862022,AA,0,0,0.0,0.0,0
81529364930,E,5,170,1015.7,0.0,0
76869599559,F,6,71,5341.26,0.0,0
